gene	cluster	avg_log2FC	pct.1	pct.2	pct_diff	p_val	p_val_adj
Elmod1	10	0.677012236574507	0.652	0.476	0.176	4.25965743955548e-22	1.37523040436049e-17
Chrm3	10	0.673638912470947	0.642	0.297	0.345	5.51697179832343e-30	1.78115434508872e-25
Tspan5	10	0.673284013837682	0.685	0.561	0.124	2.49736453006418e-18	8.06274138531221e-14
Gm20713	10	0.671233896100122	0.287	0.076	0.211	4.70334692258394e-28	1.51847555395623e-23
Lncenc1	10	0.662310799626004	0.401	0.115	0.286	6.78346972179876e-37	2.19004319968273e-32
Adcy2	10	0.661926624381397	0.495	0.284	0.211	2.13671255392654e-16	6.89837648035182e-12
Scn1a	10	0.661447721562751	0.828	0.722	0.106	6.96634157817792e-26	2.24908337851474e-21
Nsf	10	0.658790761288583	0.842	0.724	0.118	6.67221656750704e-27	2.15412511881965e-22
Gm14211	10	0.657687023174343	0.462	0.207	0.255	1.96401112354196e-26	6.34080991235522e-22
Grik1	10	0.651708265175937	0.946	0.744	0.202	2.74257244789993e-33	8.85439514804492e-29
Adgrl2	10	0.648754786086044	0.577	0.284	0.293	2.54381740551836e-26	8.21271449371602e-22
P2ry14	10	0.647421710256363	0.72	0.606	0.114	5.53409990655696e-15	1.78668415483192e-10
Nectin3	10	0.646541935208019	0.444	0.18	0.264	2.3515807017597e-28	7.59207829563119e-24
Eda	10	0.645459621960208	0.534	0.313	0.221	1.77987116559819e-18	5.74631405813374e-14
Rasgef1b	10	0.64473721642225	0.573	0.378	0.195	3.17799961642262e-17	1.02601717616204e-12
Eepd1	10	0.641273420059918	0.376	0.115	0.261	1.42165499359725e-33	4.58981314682872e-29
Med12l	10	0.630713212279581	0.799	0.672	0.127	1.25369069932653e-21	4.04754042277569e-17
Erbb4	10	0.624660613745859	0.789	0.511	0.278	7.79757798814824e-20	2.51744805347366e-15
